{'time': 1618354504962, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354504973, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354504988, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505006, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505021, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505221, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505231, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505246, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505257, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505270, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505278, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505290, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505300, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505311, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505322, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505332, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505346, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505359, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505376, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505469, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505482, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505492, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505507, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505513, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505529, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505545, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505557, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505586, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505606, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505619, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354505627, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354507224, 'event': 'Mouse over geomap', 'target': 'Coconino'}
{'time': 1618354507235, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507245, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507261, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507274, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507297, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507307, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507317, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507340, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507345, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507354, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507360, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507371, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507382, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507395, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507407, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507415, 'event': 'Mouse over geomap', 'target': 'Navajo'}
